Number,Region,AreaName,EncounterRate
92,Kanto,Lost Cave (item rooms),20
92,Kanto,Lost Cave (room 1),25
92,Kanto,Lost Cave (room 10),25
92,Kanto,Lost Cave (room 2),25
92,Kanto,Lost Cave (room 3),25
92,Kanto,Lost Cave (room 4),25
92,Kanto,Lost Cave (room 5),25
92,Kanto,Lost Cave (room 6),25
92,Kanto,Lost Cave (room 7),25
92,Kanto,Lost Cave (room 8),25
92,Kanto,Lost Cave (room 9),25
92,Kanto,Pokemon Tower (3F),100
92,Kanto,Pokemon Tower (4F),100
92,Kanto,Pokemon Tower (5F),100
92,Kanto,Pokemon Tower (6F),100
92,Kanto,Pokemon Tower (7F),90
92,Sinnoh,Eterna Forest,8
92,Sinnoh,Lost Tower (1F),85
92,Sinnoh,Lost Tower (2F),85
92,Sinnoh,Lost Tower (3F),85
92,Sinnoh,Lost Tower (4F),100
92,Sinnoh,Lost Tower (5F),96
92,Sinnoh,Old Chateau (2F left room),100
92,Sinnoh,Old Chateau (2F leftmost room),100
92,Sinnoh,Old Chateau (2F middle room),100
92,Sinnoh,Old Chateau (2F private room),100
92,Sinnoh,Old Chateau (2F right room),100
92,Sinnoh,Old Chateau (2F rightmost room),100
92,Sinnoh,Old Chateau (2F),100
92,Sinnoh,Old Chateau (dining room),100
92,Sinnoh,Old Chateau (entrance),100
92,Sinnoh,Road 209,10
92,Sinnoh,Trainers' School,15
92,Sinnoh,Turnback Cave (before pillar 1),50
92,Sinnoh,Turnback Cave (pillar 1),50
93,Alola,Thrifty Megamart Abandoned Site,40
93,Johto,Safari Zone Forest,20
93,Kalos,Frost Cavern (unknown area 314),16
93,Kalos,Frost Cavern (unknown area 315),20
93,Kalos,Frost Cavern (unknown area 316),16
93,Kalos,Frost Cavern (unknown area 317),16
93,Kalos,Road 14,10
93,Kalos,Road 19,15
93,Kalos,Victory Road (unknown area 322),10
93,Kalos,Victory Road (unknown area 324),10
93,Kalos,Victory Road (unknown area 326),10
93,Kalos,Victory Road (unknown area 328),10
93,Kanto,Lost Cave (item rooms),30
93,Kanto,Lost Cave (room 1),30
93,Kanto,Lost Cave (room 10),30
93,Kanto,Lost Cave (room 2),30
93,Kanto,Lost Cave (room 3),30
93,Kanto,Lost Cave (room 4),30
93,Kanto,Lost Cave (room 5),30
93,Kanto,Lost Cave (room 6),30
93,Kanto,Lost Cave (room 7),30
93,Kanto,Lost Cave (room 8),30
93,Kanto,Lost Cave (room 9),30
93,Kanto,Pokemon Tower (3F),100
93,Kanto,Pokemon Tower (4F),100
93,Kanto,Pokemon Tower (5F),100
93,Kanto,Pokemon Tower (6F),100
93,Kanto,Pokemon Tower (7F),15
93,Kanto,Road 8,30
93,Kanto,Rock Tunnel (1F),10
93,Kanto,Rock Tunnel (B1F),5
93,Sinnoh,Old Chateau (2F left room),40
93,Sinnoh,Old Chateau (2F leftmost room),40
93,Sinnoh,Old Chateau (2F middle room),40
93,Sinnoh,Old Chateau (2F private room),40
93,Sinnoh,Old Chateau (2F right room),20
93,Sinnoh,Old Chateau (2F rightmost room),40
93,Sinnoh,Old Chateau (2F),40
93,Sinnoh,Old Chateau (dining room),40
93,Sinnoh,Old Chateau (entrance),40
93,Sinnoh,Turnback Cave (after pillar 3),50
93,Sinnoh,Turnback Cave (before pillar 1),30
93,Sinnoh,Turnback Cave (between pillars 1 and 2),50
93,Sinnoh,Turnback Cave (between pillars 2 and 3),50
93,Sinnoh,Turnback Cave (pillar 1),30
93,Sinnoh,Turnback Cave (pillar 2),50
93,Sinnoh,Turnback Cave (pillar 3),50
94,Alola,Thrifty Megamart Abandoned Site,15
94,Sinnoh,Old Chateau (2F right room),20
95,Hoenn,Mirage Cave (North of Fortree),10
95,Hoenn,Mirage Cave (South East of Route 129),40
95,Johto,Mount Silver (1F),60
95,Johto,Mount Silver (mountainside),30
95,Johto,Mount Silver (top),90
95,Johto,Road 47 (inside cave),10
95,Johto,Safari Zone Wasteland,70
95,Johto,Union Cave (1F),15
95,Johto,Union Cave (B1F),30
95,Johto,Union Cave (B2F),15
95,Kalos,Cyllage City,35
95,Kalos,Friend Safari (Rock),33
95,Kalos,Glittering Cave (unknown area 303),10
95,Kalos,Glittering Cave (unknown area 304),35
95,Kanto,Mount Moon (1F),100
95,Kanto,Mount Moon (B1F),100
95,Kanto,Mount Moon (B2F),100
95,Kanto,Rock Tunnel (1F),100
95,Kanto,Rock Tunnel (B1F),100
95,Kanto,Rock Tunnel (B2F),10
95,Kanto,Sevault Canyon,5
95,Kanto,Victory Road 1 (1F),100
95,Kanto,Victory Road 1 (2F),100
95,Kanto,Victory Road 1 (3F),100
95,Kanto,Victory Road 2 (1F),30
95,Kanto,Victory Road 2 (2F),30
95,Kanto,Victory Road 2 (3F),30
95,Sinnoh,Iron Island (1F),10
95,Sinnoh,Iron Island (B1F left),10
95,Sinnoh,Iron Island (B1F right),10
95,Sinnoh,Iron Island (B2F left),30
95,Sinnoh,Iron Island (B2F right),30
95,Sinnoh,Iron Island (B3F),30
95,Sinnoh,Oreburgh mine (1F),10
95,Sinnoh,Oreburgh mine (B1F),10
95,Sinnoh,Snowpoint Temple (1F),15
95,Sinnoh,Snowpoint Temple (B1F),5
95,Sinnoh,Snowpoint Temple (B2F),5
95,Sinnoh,Snowpoint Temple (B3F),5
95,Sinnoh,Stark Mountain entrance,5
95,Sinnoh,Stark Mountain main cavern,5
95,Sinnoh,Victory Road (1F),20
95,Sinnoh,Victory Road (2F),10
95,Sinnoh,Victory Road (B1F),10
95,Sinnoh,Victory Road (inside exit),20
95,Sinnoh,Victory Road (inside),20
95,Sinnoh,Wayward Cave (1F),31
95,Sinnoh,Wayward Cave (B1F),31
95,Unova,Clay Tunnel,25
95,Unova,Glacier Room,25
95,Unova,Iron Room,25
95,Unova,Relic Castle (C),15
95,Unova,Relic Tunnel (Castelia Sewers entrance),25
95,Unova,Relic Tunnel (PWT entrance),25
95,Unova,Relic Tunnel (Relic Castle entrance),25
95,Unova,Rocky Mountain Room,25
95,Unova,Twist Mountain,25
95,Unova,Underground Ruins,25
95,Unova,Victory Road 2 (unknown area 74),40
95,Unova,Victory Road 2 (unknown area 75),40
95,Unova,Victory Road 2 (unknown area 77),20
95,Unova,Victory Road 2 (unknown area 80),20
96,Alola,Alola Route 2 North,65
96,Alola,Alola Route 2 South,65
96,Johto,Road 34,50
96,Johto,Road 35,60
96,Johto,Safari Zone Swamp,20
96,Kalos,Friend Safari (Psychic),33
96,Kanto,Berry Forest,10
96,Kanto,Road 11,100
96,Kanto,Road 6,30
96,Sinnoh,Road 215,40
97,Alola,Hauoli City Main,15
97,Alola,Hauoli City Shopping District,100
97,Alola,Poni Plains North,30
97,Johto,Safari Zone Swamp,20
97,Kanto,Berry Forest,100
97,Kanto,Cerulean Cave (1F),20
97,Kanto,Road 11,10
98,Johto,Cherrygrove City,100
98,Johto,Cianwood City,100
98,Johto,Dark Cave (Violet City entrance),90
98,Johto,Olivine City,100
98,Johto,Road 34,100
98,Johto,Road 40,100
98,Johto,Road 47 (inside cave),100
98,Johto,Safari Zone Mountain,10
98,Johto,Safari Zone Rocky Beach,100
98,Johto,Union Cave (B2F),100
98,Johto,Whirl Islands (1F),100
98,Johto,Whirl Islands (B1F),100
98,Johto,Whirl Islands (B2F),100
98,Johto,Whirl Islands (B3F),100
98,Kalos,Friend Safari (Water),33
98,Kanto,Bond Bridge,100
98,Kanto,Cerulean City,100
98,Kanto,Cinnabar Island,100
98,Kanto,Five Island,100
98,Kanto,Five Isle Meadow,100
98,Kanto,Fuchsia City,25
98,Kanto,Green Path,100
98,Kanto,Icefall Cave (waterfall),100
98,Kanto,Kindle Road,100
98,Kanto,Memorial Pillar,100
98,Kanto,One Island,100
98,Kanto,Outcast Island,100
98,Kanto,Pallet Town,100
98,Kanto,Resort Gorgeous,100
98,Kanto,Road 10,100
98,Kanto,Road 11,100
98,Kanto,Road 12,100
98,Kanto,Road 13,100
98,Kanto,Road 17,25
98,Kanto,Road 18,25
98,Kanto,Road 19,100
98,Kanto,Road 20,100
98,Kanto,Road 21,100
98,Kanto,Road 24,100
98,Kanto,Road 25,70
98,Kanto,Road 4,100
98,Kanto,Road 6,50
98,Kanto,S.S. Anne,100
98,Kanto,S.S. Anne dock,50
98,Kanto,"Safari Zone (Area 1, east)",25
98,Kanto,"Safari Zone (Area 2, north)",25
98,Kanto,"Safari Zone (Area 3, west)",25
98,Kanto,Safari Zone (middle),25
98,Kanto,Seafoam Islands (1F),35
98,Kanto,Seafoam Islands (B1F),30
98,Kanto,Seafoam Islands (B2F),25
98,Kanto,Seafoam Islands (B3F),100
98,Kanto,Seafoam Islands (B4F),100
98,Kanto,Tanoby Ruins,100
98,Kanto,Trainer Tower,100
98,Kanto,Treasure Beach,100
98,Kanto,Vermilion City,100
98,Kanto,Water Labyrinth,100
98,Kanto,Water Path,100
98,Sinnoh,Road 226,40
98,Unova,Driftveil City,55
98,Unova,Road 13,55
98,Unova,Road 4,55
98,Unova,Virbank City,80
98,Unova,Virbank Complex (outer),80
99,Johto,Cherrygrove City,30
99,Johto,Cianwood City,30
99,Johto,Olivine City,30
99,Johto,Road 34,30
99,Johto,Road 40,30
99,Johto,Road 47 (inside cave),20
99,Johto,Safari Zone Rocky Beach,20
99,Johto,Union Cave (B2F),30
99,Johto,Whirl Islands (1F),20
99,Johto,Whirl Islands (B2F),20
99,Johto,Whirl Islands (B3F),20
99,Kanto,Bond Bridge,4
99,Kanto,Cerulean Cave (1F),25
99,Kanto,Cerulean Cave (B1F),25
99,Kanto,Five Island,4
99,Kanto,Five Isle Meadow,4
99,Kanto,Green Path,4
99,Kanto,Icefall Cave (waterfall),4
99,Kanto,Kindle Road,4
99,Kanto,Memorial Pillar,4
99,Kanto,One Island,4
99,Kanto,Outcast Island,4
99,Kanto,Pallet Town,4
99,Kanto,Resort Gorgeous,4
99,Kanto,Road 10,10
99,Kanto,Road 12,100
99,Kanto,Road 13,100
99,Kanto,Road 19,100
99,Kanto,Road 20,4
99,Kanto,Road 21,4
99,Kanto,Road 23,25
99,Kanto,Road 25,30
99,Kanto,Seafoam Islands (B1F),5
99,Kanto,Seafoam Islands (B2F),10
99,Kanto,Seafoam Islands (B3F),30
99,Kanto,Seafoam Islands (B4F),30
99,Kanto,Tanoby Ruins,4
99,Kanto,Trainer Tower,4
99,Kanto,Treasure Beach,4
99,Kanto,Water Labyrinth,4
99,Kanto,Water Path,4
99,Unova,Driftveil City,15
99,Unova,Road 13,15
99,Unova,Road 4,15
99,Unova,Unova Route 18 (Hidden Grotto),38
99,Unova,Virbank City,20
99,Unova,Virbank Complex (outer),20
100,Hoenn,New Mauville,100
100,Hoenn,New Mauville (entrance),50
100,Johto,Team Rocket HQ,100
100,Kanto,Power Plant,100
100,Kanto,Road 10,90
100,Sinnoh,Road 218,40
101,Alola,Team Rockets Castle Area,100
101,Hoenn,New Mauville,100
101,Hoenn,Team Aqua Hideout Area,100
101,Hoenn,Team Magma Hideout Area,100
101,Johto,Team Rocket HQ,100
101,Kalos,Friend Safari (Electric),33
101,Kalos,Lost Hotel,20
101,Kanto,Cerulean Cave (1F),5
101,Kanto,Cerulean Cave (2F),10
101,Kanto,Cerulean Cave (B1F),15
101,Kanto,Power Plant,100
102,Alola,Ancient Poni Path Area,10
102,Alola,Exeggutor Island Area,40
102,Alola,Poni Wilds Area,10
102,Johto,Azalea Town,45
102,Johto,Ilex Forest,45
102,Johto,Lake of Rage,60
102,Johto,Road 29,60
102,Johto,Road 30,60
102,Johto,Road 31,60
102,Johto,Road 32,60
102,Johto,Road 34,60
102,Johto,Road 35,60
102,Johto,Road 36,60
102,Johto,Road 37,60
102,Johto,Road 38,60
102,Johto,Road 39,60
102,Johto,Road 43,60
102,Kalos,Azure Bay,15
102,Kalos,Road 12,20
102,Kanto,Berry Forest,5
102,Kanto,Road 23,100
102,Kanto,Road 26,60
102,Kanto,Road 27,60
102,Kanto,"Safari Zone (Area 1, east)",20
102,Kanto,"Safari Zone (Area 2, north)",20
102,Kanto,"Safari Zone (Area 3, west)",20
102,Kanto,Safari Zone (middle),20
102,Sinnoh,Great Marsh Area 1,10
102,Sinnoh,Great Marsh Area 2,10
102,Sinnoh,Great Marsh Area 3,10
102,Sinnoh,Great Marsh Area 4,10
102,Sinnoh,Great Marsh Area 5,10
102,Sinnoh,Great Marsh Area 6,10
103,Alola,Exeggutor Island Area,100
103,Kanto,Road 23,100
104,Alola,Wela Volcano Park Area,24
104,Johto,Safari Zone Desert,40
104,Kalos,Glittering Cave (unknown area 303),20
104,Kanto,Pokemon Tower (3F),100
104,Kanto,Pokemon Tower (4F),100
104,Kanto,Pokemon Tower (5F),100
104,Kanto,Pokemon Tower (6F),100
104,Kanto,Pokemon Tower (7F),10
104,Kanto,Rock Tunnel (1F),100
104,Kanto,Rock Tunnel (B1F),100
104,Kanto,"Safari Zone (Area 1, east)",10
104,Kanto,"Safari Zone (Area 2, north)",5
104,Kanto,"Safari Zone (Area 3, west)",10
104,Kanto,Sevault Canyon,10
104,Sinnoh,Road 203,40
105,Johto,Safari Zone Desert,20
105,Kalos,Friend Safari (Ground),33
105,Kanto,Cerulean Cave (2F),10
105,Kanto,Cerulean Cave (B1F),20
105,Kanto,Road 10,10
105,Kanto,Road 9,10
105,Kanto,Rock Tunnel (1F),10
105,Kanto,Rock Tunnel (B1F),10
105,Kanto,"Safari Zone (Area 1, east)",5
105,Kanto,"Safari Zone (Area 3, west)",5
105,Kanto,Sevault Canyon,10
105,Kanto,Victory Road 2 (1F),5
105,Kanto,Victory Road 2 (2F),5
105,Kanto,Victory Road 2 (3F),5
105,Unova,Road 15,40
108,Alola,Poni Gauntlet Area,20
108,Johto,Road 44,80
108,Johto,Safari Zone Mountain,60
108,Kalos,Victory Road (unknown area 322),20
108,Kalos,Victory Road (unknown area 324),20
108,Kalos,Victory Road (unknown area 326),20
108,Kalos,Victory Road (unknown area 328),20
108,Kanto,Cerulean Cave (1F),100
108,Kanto,Cerulean Cave (2F),100
108,Kanto,Cerulean Cave (B1F),100
108,Sinnoh,Lake Valor,40
108,Sinnoh,Road 215,10
108,Unova,Challengers Cave (1F),20
108,Unova,Challengers Cave (B1F),15
108,Unova,Challengers Cave (B2F),10
108,Unova,Road 2,10
109,Hoenn,Fiery Path,35
109,Johto,Burned Tower (1F),35
109,Johto,Burned Tower (B1F),100
109,Johto,Safari Zone Marshland,90
109,Johto,Team Rocket HQ,100
109,Kanto,Celadon City,1
109,Kanto,Pokemon Mansion (1F),100
109,Kanto,Pokemon Mansion (2F),100
109,Kanto,Pokemon Mansion (3F),100
109,Kanto,Pokemon Mansion (B1F),100
109,Kanto,Power Plant,100
109,Sinnoh,Stark Mountain main cavern,5
109,Unova,Virbank Complex (inner),30
110,Johto,Burned Tower (B1F),1
110,Johto,Safari Zone Marshland,60
110,Kanto,Pokemon Mansion (1F),100
110,Kanto,Pokemon Mansion (2F),100
110,Kanto,Pokemon Mansion (3F),100
110,Kanto,Pokemon Mansion (B1F),100
110,Kanto,Power Plant,100
110,Sinnoh,Road 227,10
110,Sinnoh,Stark Mountain entrance,15
110,Sinnoh,Stark Mountain exterior,10
110,Sinnoh,Stark Mountain main cavern,15
110,Unova,P2 Laboratory,15
111,Hoenn,Safari Zone (NW/mach bike area),30
111,Johto,Safari Zone Savannah,20
111,Kalos,Glittering Cave (unknown area 303),10
111,Kanto,Cerulean Cave (1F),100
111,Kanto,Cerulean Cave (2F),100
111,Kanto,Cerulean Cave (B1F),100
111,Kanto,Rock Tunnel (1F),100
111,Kanto,Rock Tunnel (B1F),100
111,Kanto,"Safari Zone (Area 2, north)",20
111,Kanto,Safari Zone (middle),20
111,Kanto,Victory Road 1 (1F),100
111,Kanto,Victory Road 1 (2F),100
111,Kanto,Victory Road 1 (3F),100
111,Sinnoh,Road 214,56
111,Sinnoh,Road 227,17
111,Sinnoh,Stark Mountain entrance,5
111,Sinnoh,Stark Mountain exterior,17
111,Sinnoh,Victory Road (1F),20
112,Kalos,Friend Safari (Rock),33
112,Kanto,Cerulean Cave (1F),100
112,Kanto,Cerulean Cave (2F),100
112,Kanto,Cerulean Cave (B1F),100
112,Kanto,Victory Road 1 (1F),100
112,Kanto,Victory Road 1 (2F),100
112,Kanto,Victory Road 1 (3F),100
112,Sinnoh,Road 227,20
112,Sinnoh,Road 228,30
112,Sinnoh,Stark Mountain entrance,20
112,Sinnoh,Stark Mountain exterior,20
112,Sinnoh,Stark Mountain main cavern,10
112,Sinnoh,Victory Road (1F),15
113,Alola,Alola Route 12 Area,15
113,Alola,Blush Mountain Area,15
113,Alola,Mount Hokulani Main,15
113,Alola,Poni Grove Area,15
113,Alola,Poni Plains Center,20
113,Kalos,Friend Safari (Normal),33
113,Kanto,Cerulean Cave (2F),100
113,Kanto,Cerulean Cave (B1F),10
113,Kanto,Road 13,100
113,Kanto,Road 14,100
113,Kanto,Road 15,100
113,Kanto,"Safari Zone (Area 1, east)",4
113,Kanto,"Safari Zone (Area 2, north)",4
113,Kanto,Safari Zone (middle),1
113,Sinnoh,Road 209,21
113,Sinnoh,"Road 210 (south, towards Solaceon Town)",17
114,Hoenn,Mirage Forest (East of Mossdeep),30
114,Hoenn,Mirage Forest (North of Lilycove),30
114,Hoenn,Mirage Forest (North of Route 124),30
114,Hoenn,Mirage Forest (West of Route 114),30
114,Hoenn,Mirage Island (West Of Dewford Town),30
114,Hoenn,Mirage Mountain (East of Mossdeep),10
114,Johto,Mount Silver (outside),90
114,Johto,Road 44,90
114,Kalos,Friend Safari (Grass),33
114,Kanto,Road 21,100
114,Kanto,Road 28,90
114,Kanto,"Safari Zone (Area 3, west)",1
114,Kanto,Safari Zone (middle),4
114,Kanto,Treasure Beach,30
114,Sinnoh,Great Marsh Area 1,31
114,Sinnoh,Great Marsh Area 2,31
114,Sinnoh,Great Marsh Area 3,61
114,Sinnoh,Great Marsh Area 4,61
114,Sinnoh,Great Marsh Area 5,31
114,Sinnoh,Great Marsh Area 6,31
114,Unova,Giant Chasm (outside),60
114,Unova,Road 13,50
114,Unova,Unova Route 13 (Hidden Grotto – Giant Chasm),20
115,Alola,Wela Volcano Park Area,16
115,Johto,Safari Zone Wasteland,40
115,Kalos,Glittering Cave (unknown area 303),5
115,Kanto,Rock Tunnel (1F),100
115,Kanto,Rock Tunnel (B1F),100
115,Kanto,"Safari Zone (Area 1, east)",4
115,Kanto,"Safari Zone (Area 2, north)",15
115,Kanto,"Safari Zone (Area 3, west)",1
115,Sinnoh,Great Marsh Area 1,10
115,Sinnoh,Great Marsh Area 2,10
115,Sinnoh,Great Marsh Area 3,10
115,Sinnoh,Great Marsh Area 4,10
115,Sinnoh,Great Marsh Area 5,10
115,Sinnoh,Great Marsh Area 6,10
115,Unova,Road 15,20
116,Hoenn,Road 132,15
116,Hoenn,Road 133,15
116,Hoenn,Road 134,15
116,Johto,Whirl Islands (1F),70
116,Johto,Whirl Islands (B2F),100
116,Johto,Whirl Islands (B3F),100
116,Kalos,Ambrette Town,35
116,Kalos,Cyllage City,35
116,Kanto,Bond Bridge,100
116,Kanto,Cerulean City,100
116,Kanto,Cinnabar Island,100
116,Kanto,Five Island,100
116,Kanto,Five Isle Meadow,100
116,Kanto,Green Path,100
116,Kanto,Icefall Cave (waterfall),100
116,Kanto,Kindle Road,100
116,Kanto,Memorial Pillar,100
116,Kanto,One Island,100
116,Kanto,Outcast Island,100
116,Kanto,Pallet Town,100
116,Kanto,Resort Gorgeous,100
116,Kanto,Road 10,100
116,Kanto,Road 11,100
116,Kanto,Road 12,100
116,Kanto,Road 13,100
116,Kanto,Road 19,100
116,Kanto,Road 20,100
116,Kanto,Road 21,100
116,Kanto,Road 24,100
116,Kanto,Road 4,100
116,Kanto,S.S. Anne,100
116,Kanto,Seafoam Islands (1F),20
116,Kanto,Seafoam Islands (B1F),30
116,Kanto,Seafoam Islands (B2F),15
116,Kanto,Seafoam Islands (B3F),100
116,Kanto,Seafoam Islands (B4F),100
116,Kanto,Tanoby Ruins,100
116,Kanto,Trainer Tower,100
116,Kanto,Treasure Beach,100
116,Kanto,Vermilion City,100
116,Kanto,Water Labyrinth,100
116,Kanto,Water Path,100
116,Sinnoh,Road 226,45
116,Unova,P2 Laboratory,55
116,Unova,Road 17,80
116,Unova,Road 18,80
117,Johto,Whirl Islands (1F),10
117,Johto,Whirl Islands (B2F),20
117,Johto,Whirl Islands (B3F),20
117,Kalos,Ambrette Town,5
117,Kalos,Cyllage City,5
117,Kanto,Bond Bridge,4
117,Kanto,Cerulean Cave (1F),25
117,Kanto,Cerulean Cave (B1F),25
117,Kanto,Cinnabar Island,4
117,Kanto,Five Island,4
117,Kanto,Five Isle Meadow,4
117,Kanto,Green Path,4
117,Kanto,Icefall Cave (waterfall),4
117,Kanto,Kindle Road,4
117,Kanto,Memorial Pillar,4
117,Kanto,One Island,4
117,Kanto,Outcast Island,4
117,Kanto,Pallet Town,4
117,Kanto,Resort Gorgeous,4
117,Kanto,Road 11,100
117,Kanto,Road 12,100
117,Kanto,Road 13,100
117,Kanto,Road 19,4
117,Kanto,Road 20,4
117,Kanto,Road 21,4
117,Kanto,Road 23,25
117,Kanto,Seafoam Islands (B1F),1
117,Kanto,Seafoam Islands (B3F),4
117,Kanto,Seafoam Islands (B4F),15
117,Kanto,Tanoby Ruins,4
117,Kanto,Trainer Tower,4
117,Kanto,Treasure Beach,4
117,Kanto,Water Labyrinth,4
117,Kanto,Water Path,4
117,Sinnoh,Road 226,45
117,Unova,P2 Laboratory,40
117,Unova,Road 17,40
117,Unova,Road 18,40
118,Alola,Brooklet Hill North,74
118,Alola,Brooklet Hill South,74
118,Alola,Malie Garden Area,50
118,Hoenn,Meteor Falls,50
118,Hoenn,Meteor Falls (B1F),50
118,Hoenn,Meteor Falls (back),50
118,Hoenn,Meteor Falls (back/small room),50
118,Hoenn,Petalburg City,50
118,Hoenn,Road 102,51
118,Hoenn,Road 111,51
118,Hoenn,Road 114,51
118,Hoenn,Road 117,51
118,Hoenn,Road 120,51
118,Hoenn,Safari Zone (NW/mach bike area),100
118,Hoenn,Safari Zone (SW),100
118,Hoenn,Safari Zone (expansion south),90
118,Hoenn,Victory Road (B2F),50
118,Johto,Dark Cave (Blackthorn City entrance),100
118,Johto,Dark Cave (Violet City entrance),100
118,Johto,Mount Mortar (1F),100
118,Johto,Mount Mortar (B1F),100
118,Johto,Mount Mortar (Upper Cave),100
118,Johto,Mount Silver (1F top),100
118,Johto,Mount Silver (1F),54
118,Johto,Mount Silver (2F),100
118,Johto,Mount Silver (4F),100
118,Johto,Mount Silver (top),100
118,Johto,Road 42,100
118,Johto,Safari Zone Rocky Beach,100
118,Johto,Safari Zone Swamp,100
118,Johto,Slowpoke Well (1F),100
118,Johto,Slowpoke Well (B1F),100
118,Johto,Tohjo Falls,100
118,Johto,Union Cave (1F),100
118,Johto,Union Cave (B1F),100
118,Johto,Unknown Area; all Rattata,100
118,Kalos,Parfum Palace,65
118,Kalos,Road 22,65
118,Kalos,Road 3,65
118,Kanto,Berry Forest,100
118,Kanto,Cape Brink,20
118,Kanto,Celadon City,100
118,Kanto,Cerulean Cave (1F),90
118,Kanto,Cerulean Cave (2F),50
118,Kanto,Cerulean Cave (B1F),90
118,Kanto,Cerulean City,100
118,Kanto,Cinnabar Island,75
118,Kanto,Four Island,20
118,Kanto,Fuchsia City,100
118,Kanto,Icefall Cave (entrance),20
118,Kanto,Pallet Town,50
118,Kanto,Road 10,100
118,Kanto,Road 11,50
118,Kanto,Road 12,75
118,Kanto,Road 13,75
118,Kanto,Road 17,75
118,Kanto,Road 18,75
118,Kanto,Road 19,75
118,Kanto,Road 20,75
118,Kanto,Road 21,75
118,Kanto,Road 22,100
118,Kanto,Road 23,50
118,Kanto,Road 24,100
118,Kanto,Road 25,100
118,Kanto,Road 4,100
118,Kanto,Road 6,100
118,Kanto,Road 9,100
118,Kanto,Ruin Valley,20
118,Kanto,S.S. Anne dock,50
118,Kanto,"Safari Zone (Area 1, east)",100
118,Kanto,"Safari Zone (Area 2, north)",100
118,Kanto,"Safari Zone (Area 3, west)",100
118,Kanto,Safari Zone (middle),100
118,Kanto,Seafoam Islands (B3F),75
118,Kanto,Seafoam Islands (B4F),75
118,Kanto,Vermilion City,50
118,Kanto,Viridian City,50
118,Sinnoh,Celestic Town,45
118,Sinnoh,Lake Acuity,45
118,Sinnoh,Lake Valor,45
118,Sinnoh,Lake Verity (after Galactic intervention),45
118,Sinnoh,Lake Verity (before Galactic intervention),45
118,Sinnoh,Resort Area,45
118,Sinnoh,Road 203,45
118,Sinnoh,"Road 204 (north, towards Floaroma Town)",45
118,Sinnoh,"Road 204 (south, towards Jubilife City)",45
118,Sinnoh,Road 208,45
118,Sinnoh,Road 209,45
118,Sinnoh,"Road 212 (north, towards Hearthome City)",45
118,Sinnoh,Road 214,45
118,Sinnoh,Road 229,45
118,Sinnoh,Sendoff Spring,45
118,Sinnoh,Twinleaf Town,45
118,Unova,Abundant Shrine,100
118,Unova,Aspertia City,100
118,Unova,Lostlorn Forest,100
118,Unova,Pinwheel Forest (inside),100
118,Unova,Road 11,100
118,Unova,Road 14,100
118,Unova,Road 22,100
118,Unova,Road 3,100
118,Unova,Striaton City,100
119,Alola,Brooklet Hill North,30
119,Alola,Brooklet Hill South,30
119,Alola,Malie Garden Area,30
119,Hoenn,Safari Zone (NW/mach bike area),20
119,Hoenn,Safari Zone (SW),20
119,Johto,Dark Cave (Blackthorn City entrance),10
119,Johto,Dark Cave (Violet City entrance),10
119,Johto,Mount Mortar (1F),30
119,Johto,Mount Mortar (B1F),20
119,Johto,Mount Mortar (Upper Cave),20
119,Johto,Mount Silver (1F top),100
119,Johto,Mount Silver (1F),100
119,Johto,Mount Silver (2F),100
119,Johto,Mount Silver (4F),100
119,Johto,Mount Silver (top),100
119,Johto,Road 42,20
119,Johto,Safari Zone Rocky Beach,40
119,Johto,Safari Zone Swamp,60
119,Johto,Slowpoke Well (1F),10
119,Johto,Slowpoke Well (B1F),10
119,Johto,Tohjo Falls,20
119,Johto,Union Cave (1F),10
119,Johto,Union Cave (B1F),10
119,Kalos,Parfum Palace,35
119,Kalos,Road 22,35
119,Kalos,Road 3,35
119,Kanto,Berry Forest,40
119,Kanto,Cerulean Cave (1F),60
119,Kanto,Cerulean Cave (B1F),60
119,Kanto,Cerulean City,30
119,Kanto,Fuchsia City,40
119,Kanto,Road 10,20
119,Kanto,Road 23,25
119,Kanto,Road 24,20
119,Kanto,Road 25,20
119,Kanto,Road 4,20
119,Kanto,Road 6,100
119,Kanto,Road 9,20
119,Kanto,"Safari Zone (Area 1, east)",40
119,Kanto,"Safari Zone (Area 2, north)",40
119,Kanto,"Safari Zone (Area 3, west)",40
119,Kanto,Safari Zone (middle),40
119,Sinnoh,Celestic Town,5
119,Sinnoh,Lake Acuity,50
119,Sinnoh,Lake Valor,50
119,Sinnoh,Lake Verity (after Galactic intervention),50
119,Sinnoh,Lake Verity (before Galactic intervention),50
119,Sinnoh,Resort Area,45
119,Sinnoh,Road 203,45
119,Sinnoh,"Road 204 (north, towards Floaroma Town)",45
119,Sinnoh,"Road 204 (south, towards Jubilife City)",45
119,Sinnoh,Road 208,45
119,Sinnoh,Road 209,45
119,Sinnoh,"Road 212 (north, towards Hearthome City)",45
119,Sinnoh,Road 214,45
119,Sinnoh,Road 229,45
119,Sinnoh,Sendoff Spring,45
119,Sinnoh,Twinleaf Town,45
119,Unova,Abundant Shrine,20
119,Unova,Aspertia City,20
119,Unova,Pinwheel Forest (inside),20
119,Unova,Road 11,20
119,Unova,Road 14,20
119,Unova,Road 22,20
119,Unova,Road 3,20
119,Unova,Striaton City,20
120,Alola,Alola Route 7 Area,40
120,Alola,Hano Beach Area,80
